clubId,league,name
631,GB1,Chelsea FC
985,GB1,Manchester United
31,GB1,Liverpool FC
11,GB1,Arsenal FC
148,GB1,Tottenham Hotspur
281,GB1,Manchester City
29,GB1,Everton FC
762,GB1,Newcastle United
1020,GB1,Portsmouth FC
405,GB1,Aston Villa
289,GB1,Sunderland AFC
164,GB1,Blackburn Rovers
355,GB1,Bolton Wanderers
379,GB1,West Ham United
641,GB1,Middlesbrough FC
931,GB1,Fulham FC
984,GB1,West Bromwich Albion
1071,GB1,Wigan Athletic
512,GB1,Stoke City
3008,GB1,Hull City
131,ES1,FC Barcelona
418,ES1,Real Madrid
1049,ES1,Valencia CF
13,ES1,Atlético Madrid
368,ES1,Sevilla FC
1050,ES1,Villarreal CF
714,ES1,RCD Espanyol Barcelona
150,ES1,Real Betis Balompié
331,ES1,CA Osasuna
630,ES1,Racing Santander
237,ES1,RCD Mallorca
897,ES1,Deportivo de La Coruña
621,ES1,Athletic Bilbao
3302,ES1,UD Almería
3709,ES1,Getafe CF
2867,ES1,Recreativo Huelva
366,ES1,Real Valladolid CF
1084,ES1,Málaga CF
2296,ES1,CD Numancia
2448,ES1,Sporting Gijón
5,IT1,AC Milan
46,IT1,FC Internazionale
506,IT1,Juventus FC
12,IT1,AS Roma
430,IT1,ACF Fiorentina
458,IT1,US Palermo
398,IT1,SS Lazio
410,IT1,Udinese Calcio
6195,IT1,SSC Napoli
252,IT1,Genoa CFC
1038,IT1,UC Sampdoria
416,IT1,Torino FC
800,IT1,Atalanta BC
1627,IT1,Calcio Catania
862,IT1,Chievo Verona
1025,IT1,Bologna FC 1909
1390,IT1,Cagliari Calcio
1005,IT1,US Lecce
1387,IT1,AC Siena
1386,IT1,Reggina Calcio
27,L1,Bayern Munich
86,L1,SV Werder Bremen
33,L1,FC Schalke 04
41,L1,Hamburger SV
15,L1,Bayer 04 Leverkusen
16,L1,Borussia Dortmund
79,L1,VfB Stuttgart
82,L1,VfL Wolfsburg
44,L1,Hertha BSC
42,L1,Hannover 96
24,L1,Eintracht Frankfurt
80,L1,VfL Bochum
533,L1,TSG 1899 Hoffenheim
18,L1,Borussia Mönchengladbach
48,L1,Karlsruher SC
3,L1,1. FC Köln
10,L1,Arminia Bielefeld
25,L1,FC Energie Cottbus
1041,FR1,Olympique Lyon
244,FR1,Olympique Marseille
40,FR1,FC Girondins Bordeaux
618,FR1,AS Saint-Étienne
583,FR1,Paris Saint-Germain
1082,FR1,LOSC Lille
273,FR1,Stade Rennais FC
1159,FR1,AS Nancy-Lorraine
290,FR1,AJ Auxerre
162,FR1,AS Monaco
417,FR1,OGC Nice
415,FR1,FC Toulouse
1158,FR1,FC Lorient
1423,FR1,FC Valenciennes
750,FR1,FC Sochaux-Montbéliard
995,FR1,FC Nantes
738,FR1,AC Le Havre
1162,FR1,SM Caen
1164,FR1,FC Le Mans
1290,FR1,Grenoble Foot 38
141,TR1,Galatasaray SK
36,TR1,Fenerbahce SK
114,TR1,Besiktas JK
449,TR1,Trabzonspor
2381,TR1,Medicana Sivasspor
6890,TR1,Büyüksehir Belediyespor
2293,TR1,Torku Konyaspor
3205,TR1,Kayserispor
20,TR1,Bursaspor
868,TR1,MKE Ankaragücü
2944,TR1,Ankaraspor
524,TR1,Gaziantepspor
820,TR1,Genclerbirligi Ankara
10483,TR1,Hacettepespor
825,TR1,Eskisehirspor
589,TR1,Antalyaspor
120,TR1,Kocaelispor
833,TR1,Denizlispor
964,RU1,Zenit St. Petersburg
2410,RU1,CSKA Moscow
932,RU1,Lokomotiv Moscow
232,RU1,Spartak Moscow
2698,RU1,Rubin Kazan
121,RU1,Dinamo Moscow
2737,RU1,Saturn Ramenskoe
5268,RU1,FK Moskau
2696,RU1,Krylya Sovetov Samara
4128,RU1,Amkar Perm
3719,RU1,FK Khimki
3725,RU1,Terek Grozny
3691,RU1,Tom Tomsk
2439,RU1,Kuban Krasnodar
8835,RU1,Spartak Nalchik
1083,RU1,FK Rostov
294,PO1,SL Benfica
720,PO1,FC Porto
336,PO1,Sporting CP
1075,PO1,SC Braga
2457,PO1,CF Belenenses Lissabon
2420,PO1,Vitória Guimarães SC
1085,PO1,Vitória Setúbal FC
1301,PO1,CS Marítimo
3345,PO1,Leixões SC
2995,PO1,FC Paços de Ferreira
3348,PO1,CD Trofense
2990,PO1,Académica Coimbra
4814,PO1,Naval 1º de Maio
982,PO1,CD Nacional
2431,PO1,CF Estrela Amadora
2425,PO1,Rio Ave FC
234,NL1,Feyenoord Rotterdam
383,NL1,PSV Eindhoven
610,NL1,Ajax Amsterdam
1090,NL1,AZ Alkmaar
306,NL1,SC Heerenveen
317,NL1,FC Twente Enschede
202,NL1,FC Groningen
499,NL1,Vitesse Arnhem
200,NL1,FC Utrecht
192,NL1,Roda JC Kerkrade
467,NL1,NEC Nijmegen
132,NL1,NAC Breda
1268,NL1,ADO Den Haag
403,NL1,Willem II Tilburg
468,NL1,Sparta Rotterdam
1304,NL1,Heracles Almelo
642,NL1,De Graafschap Doetinchem
724,NL1,FC Volendam
58,BE1,RSC Anderlecht
3057,BE1,Standard Liège
2282,BE1,Club Brugge KV
1184,BE1,KRC Genk
566,BE1,Beerschot AC
157,BE1,KAA Gent
172,BE1,RSC Charleroi
520,BE1,Cercle Brugge
498,BE1,KSC Lokeren
3508,BE1,SV Zulte Waregem
354,BE1,KV Mechelen
968,BE1,KVC Westerlo
1433,BE1,Excelsior Mouscron
2977,BE1,KSV Roeselare
601,BE1,KV Kortrijk
1411,BE1,RAEC Mons
3772,BE1,AFC Tubize
9010,BE1,FCV Dender EH
1061,MLS1,Los Angeles Galaxy
11141,MLS1,Toronto FC
9636,MLS1,Seattle Sounders FC
8816,MLS1,FC Dallas
2440,MLS1,D.C. United
626,MLS1,New England Revolution
432,MLS1,Chicago Fire
623,MLS1,New York Red Bulls
218,MLS1,San Jose Earthquakes
6643,MLS1,Real Salt Lake City
813,MLS1,Columbus Crew SC
4284,MLS1,Kansas City Wizards
6642,MLS1,CD Chivas USA
1247,MLS1,Colorado Rapids
9168,MLS1,Houston Dynamo
660,UKR1,Shakhtar Donetsk
338,UKR1,Dynamo Kyiv
339,UKR1,Dnipro Dnipropetrovsk
6414,UKR1,Metalist Kharkiv
9007,UKR1,Arsenal Kyiv
2783,UKR1,Metalurg Donetsk
2227,UKR1,SK Tavriya Simferopol
6992,UKR1,Chornomorets Odessa
3592,UKR1,Kryvbas Kryvyi Rig
2740,UKR1,Vorskla Poltava
6994,UKR1,Metalurg Zaporizhya
2477,UKR1,Karpaty Lviv
10674,UKR1,FK Kharkiv
10690,UKR1,Zorya Lugansk
6993,UKR1,Ilyichivets Mariupol
18105,UKR1,FK Lviv
683,GR1,Olympiacos Piraeus
265,GR1,Panathinaikos Athens
2441,GR1,AEK Athens
1091,GR1,PAOK Thessaloniki
605,GR1,Aris Thessaloniki
4603,GR1,AE Larisa
169,GR1,Panionios Athens
6676,GR1,Asteras Tripolis
128,GR1,Skoda Xanthi
653,GR1,OFI Crete
3385,GR1,Panserraikos Serres
5220,GR1,GS Ergotelis
2672,GR1,APO Levadiakos
47,GR1,Iraklis Thessaloniki
7185,GR1,Panthrakikos Komotini
6678,GR1,Thrasyvoulos Fylis
26,C1,FC Basel 1893
504,C1,Grasshopper Club
260,C1,FC Zürich
452,C1,BSC Young Boys
321,C1,FC Sion
434,C1,FC Luzern
116,C1,FC Aarau
625,C1,Neuchâtel Xamax
2047,C1,AC Bellinzona
163,C1,FC Vaduz
312,RO1,Dinamo Bukarest
7769,RO1,CFR Cluj
455,RO1,Rapid Bucharest
301,RO1,Steaua Bucharest
7074,RO1,Politehnica Timisoara
8174,RO1,FC Vaslui
10442,RO1,Unirea Urziceni
1007,RO1,Universitatea Craiova
9560,RO1,Politehnica Iasi
4688,RO1,Gloria Bistrita
4687,RO1,FC Brasov
4959,RO1,Otelul Galati
12682,RO1,CS Otopeni
8715,RO1,Pandurii Targu Jiu
11380,RO1,Gloria Buzau
5267,RO1,Farul Constanta
8104,RO1,Gaz Metan Medias
2418,RO1,FC Arges Pitesti
419,KR1,GNK Dinamo Zagreb
447,KR1,HNK Hajduk Split
144,KR1,HNK Rijeka
327,KR1,NK Osijek
2566,KR1,NK Zadar
599,KR1,NK Varteks Varazdin
2362,KR1,Slaven Belupo Koprivnica
314,KR1,HNK Cibalia Vinkovci
5107,KR1,NK Zagreb
223,KR1,HNK Sibenik
918,KR1,NK Inter Zapresic
5111,KR1,NK Croatia Sesvete
409,A1,Red Bull Salzburg
170,A1,Rapid Vienna
14,A1,Austria Vienna
413,A1,LASK Linz
3551,A1,SC Rheindorf Altach
122,A1,SK Sturm Graz
11609,A1,SK Austria Kärnten
856,A1,SV Mattersburg
266,A1,SV Ried
2394,A1,SV Kapfenberg
62,TS1,SK Slavia Prag
197,TS1,AC Sparta Praha
814,TS1,FK Teplice
5546,TS1,FK Mladá Boleslav
5225,TS1,1. FC Brno
377,TS1,FC Banik Ostrava
697,TS1,FC Slovan Liberec
941,TS1,FC Viktoria Plzen
892,TS1,FK Viktoria Zizkov
1322,TS1,FK Jablonec
5545,TS1,FC FASTAV Zlin
2311,TS1,SK Sigma Olomouc
1321,TS1,SK Dynamo Ceske Budejovice
12861,TS1,FK Bohemians Prag
6380,TS1,SK Kladno
2598,TS1,1.FK Pribram
190,DK1,FC Copenhagen
206,DK1,Bröndby IF
1053,DK1,Aalborg BK
865,DK1,FC Midtjylland
173,DK1,Odense Boldklub
2778,DK1,FC Nordsjaelland
678,DK1,Aarhus GF
3426,DK1,Esbjerg fB
5724,DK1,Randers FC
443,DK1,Vejle Boldklub
2414,DK1,AC Horsens
5817,DK1,SönderjyskE
422,PL1,Wisla Kraków
255,PL1,Legia Warszawa
238,PL1,Lech Poznan
716,PL1,GKS Belchatow
2745,PL1,Polonia Warsaw
6107,PL1,Arka Gdynia
5689,PL1,Cracovia Kraków
428,PL1,Gornik Zabrze
318,PL1,Ruch Chorzow
256,PL1,LKS Lodz
1305,PL1,Odra Wodzislaw Slaski
4000,PL1,Lechia Gdansk
759,PL1,Slask Wroclaw
6112,PL1,Piast Gliwice
2300,PL1,Jagiellonia Bialystok
7976,PL1,Polonia Bytom
1101,SE1,IF Elfsborg Boras
1044,SE1,Djurgardens IF
496,SE1,Malmö FF
801,SE1,IFK Göteborg
699,SE1,Helsingborgs IF
272,SE1,AIK Solna
4414,SE1,Gefle IF
1011,SE1,Halmstads BK
701,SE1,Trelleborgs FF
3654,SE1,Kalmar FF
1056,SE1,Örebro SK
1118,SE1,Örgryte IS
1059,SE1,Hammarby IF
7009,SE1,GAIS Göteborg
1109,SE1,BK Häcken
1092,SE1,IF Brommapojkarna
669,SER1,FK Partizan Belgrade
159,SER1,Red Star Belgrade
448,SER1,FK Vojvodina
902,SER1,FK Rad
6621,SER1,FK Cukaricki
3140,SER1,FK Hajduk Kula
2209,SER1,FK Borac Cacak
788,SER1,Napredak Krusevac
53,SER1,OFK Beograd
6619,SER1,FK Banat Zrenjanin
12132,SER1,FK Jagodina
8819,SER1,FK Javor Ivanjica
195,NO1,Rosenborg BK
1100,NO1,SK Brann
353,NO1,Lilleström SK
76,NO1,Valerenga Oslo
1274,NO1,Stabaek IF
687,NO1,Molde FK
239,NO1,Viking Stavanger
1058,NO1,Odd Grenland
1293,NO1,Tromsö IL
175,NO1,FK Lyn
2817,NO1,Strømsgodset IF
267,NO1,IK Start
5619,NO1,Aalesunds FK
3837,NO1,Fredrikstad FK
6399,NO1,Sandefjord Fotball
501,NO1,FK Bodø/Glimt
3793,ISR1,Beitar Jerusalem
6105,ISR1,FC Ashdod
119,ISR1,Maccabi Tel Aviv
1064,ISR1,Maccabi Haifa
1017,ISR1,Hapoel Tel Aviv
5223,ISR1,Maccabi Netanya
3785,ISR1,Maccabi Petah Tikva
6028,ISR1,Ironi Kiryat Shmona
9095,ISR1,Bnei Yehuda Tel Aviv
2785,ISR1,Hapoel Ramat Gan
4769,ISR1,Ihud Bnei Sakhnin
262,ISR1,Hapoel Petah Tikva
371,SC1,Celtic FC
124,SC1,Rangers FC
43,SC1,Heart of Midlothian FC
903,SC1,Hibernian FC
1191,SC1,Falkirk FC
987,SC1,Motherwell FC
370,SC1,Aberdeen FC
2451,SC1,Inverness Caledonian Thistle FC
465,SC1,St. Mirren FC
2999,SC1,Hamilton Academical FC
2553,SC1,Kilmarnock FC
1519,SC1,Dundee United FC
19214,BU1,Lokomotiv 2012 Mezdra
156,BU1,Levski Sofia
271,BU1,FC Litex Lovetch
208,BU1,CSKA Sofia
675,BU1,Slavia Sofia
11255,BU1,PFC Vihren Sandanski
730,BU1,Lokomotiv Sofia
967,BU1,Cherno More Varna
4494,BU1,Chernomorets Burgas
9599,BU1,Spartak Varna
2259,BU1,Lokomotiv Plovdiv
2535,BU1,Sliven OFK 2000
19215,BU1,PFC Minyor Pernik
2531,BU1,Botev Plovdiv
2190,BU1,PFC Belasica Petrich
521,BU1,OFK Pirin Blagoevgrad
429,ZYP1,Apollon Limassol
2784,ZYP1,APOEL Nicosia
829,ZYP1,Omonia Nikosia
3899,ZYP1,Anorthosis Famagusta
2156,ZYP1,AEK Larnaca
786,ZYP1,AEL Limassol
